OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
11437,2008,CA,NPS,RWP,229.48634338,1639039.68608008,8903.82748741136,102,WOODEN GATE,3,2008/09/25 00:00:00+00,2008/10/03 00:00:00+00,212,2,1,1
11438,2008,CA,NPS,LNP,18.57209969,130266.805875275,1531.74136036073,08-043,LOOMIS A,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,19,2,,
11439,2008,CA,NPS,LNP,13.49358463,94639.879075925,1669.19979410065,08-043,LOOMIS B,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,13,2,,
11440,2008,CA,NPS,LNP,8.70627022,61060.884261525,1442.48096334179,08-043,LOOMIS C,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,9,2,,
11441,2008,CA,NPS,LNP,33.08944321,232079.14665947,2770.29432764363,08-043,LOOMIS E,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,33,2,,
11442,2008,CA,NPS,LNP,22.59784317,158470.61289921,1647.62319055121,08-043,LOOMIS F,3,2008/10/13 00:00:00+00,2008/10/14 00:00:00+00,23,2,,
11443,2008,CA,NPS,LNP,264.51480103,1857494.91561683,6957.69229432569,08-044,BUTTE LAKE,3,2008/10/22 00:00:00+00,2008/10/24 00:00:00+00,265,2,,
11444,2008,CA,NPS,LNP,2.67536759,18660.33161275,628.739889158319,08-001,MINERAL A ,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,2.7,1,2,2
11445,2008,CA,NPS,LNP,3.0333612,21156.896411165,683.305013079217,08-001,MINERAL B,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,3,1,2,2
11446,2008,CA,NPS,LNP,3.39755917,23696.604430675,929.135186140104,08-001,MINERAL C,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,3.4,1,2,2
11447,2008,CA,NPS,LNP,4.18329716,29176.222089515,873.983946643271,08-001,MINERAL D,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,4.2,1,2,2
11448,2008,CA,NPS,LNP,9.83670425,68605.553186405,1767.66912584851,08-001,MINERAL E,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,9.8,1,2,2
11449,2008,CA,NPS,LNP,9.34895706,65207.217155875,1824.90890198664,08-001,MINERAL F,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,9.3,1,2,2
11450,2008,CA,NPS,LNP,17.12865639,119470.91767848,4142.3889726609,08-001,MINERAL G,3,2008/05/08 00:00:00+00,2008/05/09 00:00:00+00,17.1,1,2,2
11451,2008,CA,USF,SRF,159.44567871,1024833.11507355,7040.95879473999,0515517281997001000,LONE SEQUOIA,3,2008/04/15 00:00:00+00,2008/11/20 00:00:00+00,159.44568216,,,
11452,2008,CA,USF,STF,36.10868835,237596.54030811,2654.82308654332,0516522169001000000,IRISH/O'MANUEL BURN,3,2006/04/01 00:00:00+00,2008/05/07 00:00:00+00,36.1086868,,,
11453,2007,CA,USF,MNF,44.73900223,302718.054888145,3128.24076531329,0508540273018000001,HOWARD MILL UNDERSTORY,3,2007/02/20 00:00:00+00,2007/02/20 00:00:00+00,44.73900287,,,
11454,2007,CA,CDF,NEU,1050.82531738,7126936.70611035,20054.2520424976,RX-NORTH-043-NEU,Malakoff,3,2007/01/15 00:00:00+00,2007/01/31 00:00:00+00,1051,3,3,2
11455,2007,CA,NPS,YNP,152.1688385,981291.937713385,5645.48442809339,0000000000000922,Wawona NW RX,3,2007/05/01 00:00:00+00,2007/05/02 00:00:00+00,152.25,2,2,2
11456,2007,CA,NPS,RWP,31.15234756,222892.391912935,2258.458786586,0000000000000028,D-A 2nd Growth,3,2007/11/07 00:00:00+00,2007/11/07 00:00:00+00,35,,1,1
11457,2007,CA,CDF,RRU,30.61257553,178917.499759505,1828.11551067911,RX-SOUTH-042-RRU,JOHNSON RANCH UNIT 1,3,2007/04/16 00:00:00+00,2007/04/16 00:00:00+00,30,3,,
11458,2007,CA,CDF,TGU,216.81304932,1500121.94702193,4876.31663481661,Rx-North-071,N/A-random mosaics,3,2007/12/10 00:00:00+00,2007/12/10 00:00:00+00,250,1,1,1
11459,2007,CA,CDF,CZU,143.62785339,920837.200270555,4796.79542444802,Rx-North-031-CZU,Russian Ridge,3,2007/07/26 00:00:00+00,2007/07/26 00:00:00+00,120,3,2,2
11460,2007,CA,CDF,HUU,109.27339935,761357.41594039,5531.20218696666,RX-NORTH-054-HUU,GPrairieA,3,2007/11/09 00:00:00+00,2007/11/09 00:00:00+00,80,1,2,2
11461,2007,CA,CDF,HUU,90.28590393,629932.366424615,3639.40179512792,RX-NORTH-047-HUU,LookLuke,3,2007/09/26 00:00:00+00,2007/09/27 00:00:00+00,91,3,2,1
11462,2007,CA,CDF,NEU,192.56842041,1301112.0783446,6838.46070628977,RX-NORTH-044-NEU,UC Field,3,2007/06/01 00:00:00+00,2007/06/30 00:00:00+00,193,4,2,1
11463,2007,CA,CDF,NEU,1050.82531738,7126936.70611035,20054.2520424976,RX-NORTH-043-NEU,Malakoff,3,2007/01/15 00:00:00+00,2007/01/31 00:00:00+00,1051,3,3,2
11464,2007,CA,NPS,YNP,152.1688385,981291.937713385,5645.48442809339,0000000000000922,Wawona NW RX,3,2007/05/01 00:00:00+00,2007/05/02 00:00:00+00,152.25,2,2,2
11465,2007,CA,NPS,YNP,7.69346285,49786.88787307,1369.7027430305,0000000000001408,El Portal RX,3,2007/05/30 00:00:00+00,2007/05/31 00:00:00+00,7.69,1,1,1
11466,2007,CA,NPS,YNP,46.02187729,298158.19364806,3552.92918743444,0000000000001988,YV-05,3,2007/06/28 00:00:00+00,2007/06/29 00:00:00+00,46.29,4,3,2
11467,2007,CA,NPS,YNP,32.37695313,209790.75908395,3248.40410148644,0000000000002579,YV-14,3,2007/07/19 00:00:00+00,2007/07/20 00:00:00+00,35.62,4,2,1
11468,2007,CA,NPS,YNP,53.25149918,345759.24379921,2711.02554913036,0000000000001418,PW-04 B,3,2007/06/06 00:00:00+00,2007/06/08 00:00:00+00,51.29,2,2,2
11469,2007,CA,NPS,YNP,21.71315956,140967.49094666,1720.16491647624,0000000000001418,PW-04 F,3,2007/06/06 00:00:00+00,2007/06/08 00:00:00+00,21.71,2,3,2
11470,2007,CA,NPS,YNP,64.42998505,417643.085447385,3404.67214094722,0000000000004183,YV-19,3,2007/09/18 00:00:00+00,2007/09/18 00:00:00+00,64.4,4,2,2
11471,2007,CA,NPS,YNP,63.36186981,410701.94157381,2817.72293214001,0000000000004215,YV-18,3,2007/09/19 00:00:00+00,2007/09/19 00:00:00+00,63.4,4,2,2
11472,2007,CA,NPS,YNP,59.26493454,383110.231385535,4475.99446248009,000000000000252,PW-17,3,2007/02/06 00:00:00+00,2007/02/07 00:00:00+00,59.3,1,3,2
11473,2007,CA,NPS,YNP,888.80731201,5745610.10141131,14508.0698808836,0000000000004289,"PW-17 Segs B, C & E",3,2007/09/26 00:00:00+00,2007/10/20 00:00:00+00,889.34,2,3,2
11474,2007,CA,NPS,RWP,202.96490479,1449470.95674267,6271.1340697627,0000000000000027,Upper Lyons Rx,3,2007/10/07 00:00:00+00,2007/10/07 00:00:00+00,205,,1,1
11475,2007,CA,NPS,RWP,8.06550312,58710.373430575,1194.6367951669,0000000000000026,Little Bald Hills Rx,3,2007/10/06 00:00:00+00,2007/10/06 00:00:00+00,3,,1,1
11476,2007,CA,NPS,LNP,48.94157791,343046.164516065,2594.48510683428,0000000000005647,STONEHENGE RX (unit3),3,2007/11/08 00:00:00+00,2007/11/08 00:00:00+00,75,1,,
11477,2007,CA,CDF,RRU,401.97827148,2347037.74983252,11947.6579311315,RX-SOUTH-038-RRU,SANTA ROSA VMP,3,2007/04/23 00:00:00+00,2007/04/23 00:00:00+00,404,3,,
11478,2007,CA,CDF,RRU,63.00075912,368137.3148829,3274.12233528981,RX-SOUTH-042-RRU,JOHNSON RANCH UNIT 2,3,2007/04/16 00:00:00+00,2007/04/16 00:00:00+00,63,3,,
11479,2007,CA,CDF,RRU,30.61257553,178917.499759505,1828.11551067911,RX-SOUTH-042-RRU,JOHNSON RANCH UNIT 1,3,2007/04/16 00:00:00+00,2007/04/16 00:00:00+00,30,3,,
11480,2007,CA,CDF,SLU,309.19030762,1884855.54378888,6261.99135491741,0000000000000000,Camp VMP,3,2007/06/20 00:00:00+00,2007/06/20 00:00:00+00,309,3,2,2
11481,2007,CA,CDF,TGU,681.52984619,4718688.68454046,13250.2282050501,Rx-North-066,Wildcat North,3,2007/06/07 00:00:00+00,2007/06/07 00:00:00+00,670,4,1,1
